_id,cwe_id,cwe_name,description
63e76e42e7ec9a5bef1df179,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),"The program allocates or initializes a resource such as a pointer, object, or variable using one type, but it later accesses that resource using a type that is incompatible with the original type."
63e76e42e7ec9a5bef1df17a,CWE-824,Access of Uninitialized Pointer,The program accesses or uses a pointer that has not been initialized.
63e76e42e7ec9a5bef1df17b,CWE-770,Allocation of Resources Without Limits or Throttling,"The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor."
63e76e42e7ec9a5bef1df17c,CWE-670,Always-Incorrect Control Flow Implementation,"The code contains a control flow path that does not reflect the algorithm that the path is intended to implement, leading to incorrect behavior any time this path is navigated."
63e76e42e7ec9a5bef1df17d,CWE-294,Authentication Bypass by Capture-replay,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).
63e76e42e7ec9a5bef1df17e,CWE-290,Authentication Bypass by Spoofing,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.
63e76e42e7ec9a5bef1df17f,CWE-639,Authorization Bypass Through User-Controlled Key,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.
63e76e42e7ec9a5bef1df180,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."
63e76e42e7ec9a5bef1df181,CWE-312,Cleartext Storage of Sensitive Information,The application stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
63e76e42e7ec9a5bef1df182,CWE-319,Cleartext Transmission of Sensitive Information,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
63e76e42e7ec9a5bef1df183,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."
63e76e42e7ec9a5bef1df184,CWE-352,Cross-Site Request Forgery (CSRF),"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
63e76e42e7ec9a5bef1df185,CWE-502,Deserialization of Untrusted Data,The application deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
63e76e42e7ec9a5bef1df186,CWE-425,Direct Request ('Forced Browsing'),"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."
63e76e42e7ec9a5bef1df187,CWE-369,Divide By Zero,The product divides a value by zero.
63e76e42e7ec9a5bef1df188,CWE-415,Double Free,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations."
63e76e42e7ec9a5bef1df189,CWE-494,Download of Code Without Integrity Check,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.
63e76e42e7ec9a5bef1df18a,CWE-834,Excessive Iteration,The software performs an iteration or loop without sufficiently limiting the number of times that the loop is executed.
63e76e42e7ec9a5bef1df18b,CWE-668,Exposure of Resource to Wrong Sphere,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource."
63e76e42e7ec9a5bef1df18c,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
63e76e42e7ec9a5bef1df18d,CWE-610,Externally Controlled Reference to a Resource in Another Sphere,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.
63e76e42e7ec9a5bef1df18e,CWE-552,Files or Directories Accessible to External Parties,"The product makes files or directories accessible to unauthorized actors, even though they should not be."
63e76e42e7ec9a5bef1df18f,CWE-209,Generation of Error Message Containing Sensitive Information,"The software generates an error message that includes sensitive information about its environment, users, or associated data."
63e76e42e7ec9a5bef1df190,CWE-287,Improper Authentication,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
63e76e42e7ec9a5bef1df191,CWE-295,Improper Certificate Validation,"The software does not validate, or incorrectly validates, a certificate."
63e76e42e7ec9a5bef1df192,CWE-273,Improper Check for Dropped Privileges,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
63e76e42e7ec9a5bef1df193,CWE-754,Improper Check for Unusual or Exceptional Conditions,The software does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the software.
